district_code,district_name,week,year,disease,cases_reported,population,incidence_rate,vaccination_coverage,rainfall_mm,humidity,risk_flag
D0003,District_003,9,2025,Swine Flu,97,7365335,0.013169802,70.69,194.34,79.57,0
D0003,District_003,10,2025,Malaria,131,7365335,0.017786021,70.69,135.67,53.12,0
D0003,District_003,11,2025,Malaria,105,7365335,0.014255971,70.69,414.37,42.62,0
D0003,District_003,12,2025,Dengue,227,7365335,0.030820051,70.69,178.38,65.73,0
D0003,District_003,13,2025,Dengue,34,7365335,0.004616219,70.69,140.47,65.35,0
D0003,District_003,14,2025,Chikungunya,198,7365335,0.026882688,70.69,271.35,39.59,0
D0003,District_003,15,2025,Dengue,209,7365335,0.02837617,70.69,70.46,44.13,0
D0003,District_003,16,2025,Swine Flu,64,7365335,0.008689354,70.69,401.1,58.57,0
D0003,District_003,17,2025,Dengue,109,7365335,0.014799055,70.69,37.28,58.62,0
D0003,District_003,18,2025,Dengue,108,7365335,0.014663284,70.69,493.44,52.23,0
D0003,District_003,19,2025,Hepatitis,192,7365335,0.026068061,70.69,386.12,40.4,0
D0003,District_003,20,2025,Typhoid,110,7365335,0.014934826,70.69,99.36,30.31,0
D0003,District_003,21,2025,Typhoid,191,7365335,0.02593229,70.69,2.76,97.92,0
D0003,District_003,22,2025,Typhoid,241,7365335,0.032720847,70.69,407.73,96.04,0
D0003,District_003,23,2025,Typhoid,122,7365335,0.01656408,70.69,353.43,63.86,0
D0003,District_003,24,2025,Dengue,40,7365335,0.005430846,70.69,364.5,99.65,0
D0003,District_003,25,2025,Typhoid,142,7365335,0.019279503,70.69,385.64,77.16,0
D0003,District_003,26,2025,Dengue,110,7365335,0.014934826,70.69,37.02,34.82,0
D0004,District_004,1,2025,Malaria,251,5125170,0.048973985,66.03,179.23,38.24,1
D0004,District_004,2,2025,Dengue,36,5125170,0.007024157,66.03,57.93,94.13,0
D0004,District_004,3,2025,Hepatitis,288,5125170,0.056193258,66.03,431.55,74.1,1
D0004,District_004,4,2025,Chikungunya,92,5125170,0.017950624,66.03,311.65,89.02,0
D0004,District_004,5,2025,Malaria,184,5125170,0.035901248,66.03,165.45,92.88,1
D0004,District_004,6,2025,Chikungunya,296,5125170,0.057754182,66.03,31.78,61.36,1
D0004,District_004,7,2025,Dengue,168,5125170,0.0327794,66.03,155.49,33.4,1
D0004,District_004,8,2025,Swine Flu,76,5125170,0.014828776,66.03,162.59,43.18,0
D0004,District_004,9,2025,Swine Flu,112,5125170,0.021852934,66.03,364.8,34.66,1
D0004,District_004,10,2025,Hepatitis,27,5125170,0.005268118,66.03,318.78,43.21,0
D0004,District_004,11,2025,Typhoid,177,5125170,0.03453544,66.03,443.61,58.74,1
D0004,District_004,12,2025,Swine Flu,119,5125170,0.023218742,66.03,236.11,38.27,1
D0004,District_004,13,2025,Chikungunya,87,5125170,0.016975047,66.03,59.8,41.67,0
D0004,District_004,14,2025,Malaria,147,5125170,0.028681975,66.03,356.62,61.21,1
D0004,District_004,15,2025,Dengue,294,5125170,0.057363951,66.03,380.39,53.81,1
D0004,District_004,16,2025,Chikungunya,167,5125170,0.032584285,66.03,280.64,62.74,1
D0004,District_004,17,2025,Chikungunya,181,5125170,0.035315902,66.03,385.48,60.04,1
D0004,District_004,18,2025,Dengue,175,5125170,0.034145209,66.03,246.9,75.11,1
D0004,District_004,19,2025,Hepatitis,7,5125170,0.001365808,66.03,261.37,95.6,0
D0004,District_004,20,2025,Hepatitis,68,5125170,0.013267853,66.03,213.77,37.55,0
D0004,District_004,21,2025,Swine Flu,142,5125170,0.027706398,66.03,12.71,36.95,1
D0004,District_004,22,2025,Chikungunya,144,5125170,0.028096629,66.03,53.95,89.7,1
D0004,District_004,23,2025,Hepatitis,226,5125170,0.044096098,66.03,15.71,65.45,1
D0004,District_004,24,2025,Swine Flu,148,5125170,0.028877091,66.03,318.21,83.65,1
D0004,District_004,25,2025,Malaria,137,5125170,0.026730821,66.03,157.18,45.08,1
D0004,District_004,26,2025,Malaria,179,5125170,0.034925671,66.03,254.29,88.02,1
D0005,District_005,1,2025,Dengue,232,5481834,0.042321603,65.17,453.78,94.67,1
D0005,District_005,2,2025,Dengue,74,5481834,0.013499132,65.17,124.65,74.48,0
D0005,District_005,3,2025,Dengue,155,5481834,0.028275209,65.17,205.19,37.41,1
D0005,District_005,4,2025,Malaria,121,5481834,0.022072905,65.17,377.78,92.67,1
D0005,District_005,5,2025,Dengue,121,5481834,0.022072905,65.17,114.4,85.47,1
D0005,District_005,6,2025,Swine Flu,30,5481834,0.005472621,65.17,38.49,82.56,0
D0005,District_005,7,2025,Chikungunya,261,5481834,0.047611803,65.17,144.88,32.57,1
D0005,District_005,8,2025,Typhoid,57,5481834,0.01039798,65.17,80.61,85.93,0
D0005,District_005,9,2025,Chikungunya,298,5481834,0.054361369,65.17,464.85,39.66,1
D0005,District_005,10,2025,Swine Flu,174,5481834,0.031741202,65.17,404.06,45.57,1
D0005,District_005,11,2025,Hepatitis,123,5481834,0.022437746,65.17,316.7,70.4,1
D0005,District_005,12,2025,Dengue,60,5481834,0.010945242,65.17,435.73,48.55,0
D0005,District_005,13,2025,Dengue,105,5481834,0.019154174,65.17,401.84,76.29,1
D0005,District_005,14,2025,Dengue,298,5481834,0.054361369,65.17,93.29,72.56,1
D0005,District_005,15,2025,Malaria,190,5481834,0.034659933,65.17,446.28,37.57,1
D0005,District_005,16,2025,Hepatitis,144,5481834,0.026268581,65.17,269.67,75.92,1
D0005,District_005,17,2025,Chikungunya,154,5481834,0.028092788,65.17,403.72,94.68,1
D0005,District_005,18,2025,Malaria,114,5481834,0.02079596,65.17,448.05,41.28,1
D0005,District_005,19,2025,Chikungunya,206,5481834,0.037578664,65.17,159,71.79,1
D0005,District_005,20,2025,Typhoid,209,5481834,0.038125926,65.17,55.03,53.93,1
D0005,District_005,21,2025,Dengue,9,5481834,0.001641786,65.17,113.97,62.17,0
D0005,District_005,22,2025,Dengue,20,5481834,0.003648414,65.17,213.55,50.09,0
D0005,District_005,23,2025,Typhoid,79,5481834,0.014411235,65.17,409.01,54.79,0
D0005,District_005,24,2025,Typhoid,60,5481834,0.010945242,65.17,430.37,32.02,0
D0005,District_005,25,2025,Hepatitis,30,5481834,0.005472621,65.17,3.48,98.71,0
D0005,District_005,26,2025,Dengue,292,5481834,0.053266845,65.17,255.37,73.74,1
D0006,District_006,1,2025,Hepatitis,275,3661079,0.075114468,79.07,208.71,65.05,0
D0006,District_006,2,2025,Malaria,63,3661079,0.017208042,79.07,111.05,56.86,0
D0006,District_006,3,2025,Swine Flu,290,3661079,0.07921162,79.07,59.93,67.76,0
D0006,District_006,4,2025,Chikungunya,110,3661079,0.030045787,79.07,168.81,56.61,0
D0006,District_006,5,2025,Swine Flu,245,3661079,0.066920162,79.07,471.45,55.19,0
D0006,District_006,6,2025,Swine Flu,281,3661079,0.076753329,79.07,161.6,62.48,0
D0006,District_006,7,2025,Dengue,31,3661079,0.008467449,79.07,259.4,49.32,0
D0006,District_006,8,2025,Malaria,14,3661079,0.003824009,79.07,351.51,42.6,0
D0006,District_006,9,2025,Hepatitis,277,3661079,0.075660755,79.07,181.81,68.96,0
D0006,District_006,10,2025,Malaria,152,3661079,0.041517815,79.07,485.89,88.99,0
D0006,District_006,11,2025,Swine Flu,292,3661079,0.079757907,79.07,481.22,40.7,0
D0006,District_006,12,2025,Typhoid,108,3661079,0.0294995,79.07,125.89,32.29,0
D0006,District_006,13,2025,Chikungunya,9,3661079,0.002458292,79.07,248.62,47.28,0
D0006,District_006,14,2025,Hepatitis,174,3661079,0.047526972,79.07,150.44,98.58,0
D0006,District_006,15,2025,Chikungunya,218,3661079,0.059545287,79.07,142.42,88.01,0
D0006,District_006,16,2025,Typhoid,288,3661079,0.078665333,79.07,18.44,71.71,0
D0006,District_006,17,2025,Malaria,33,3661079,0.009013736,79.07,304.78,95.05,0
D0006,District_006,18,2025,Chikungunya,22,3661079,0.006009157,79.07,251.34,61.17,0
D0006,District_006,19,2025,Typhoid,170,3661079,0.046434398,79.07,25.74,98.83,0
D0006,District_006,20,2025,Chikungunya,13,3661079,0.003550866,79.07,139.32,50.74,0
D0006,District_006,21,2025,Swine Flu,50,3661079,0.013657176,79.07,454.13,46.82,0
D0006,District_006,22,2025,Chikungunya,197,3661079,0.053809273,79.07,119.78,74.66,0
D0006,District_006,23,2025,Typhoid,213,3661079,0.058179569,79.07,72.45,56.47,0
D0006,District_006,24,2025,Typhoid,93,3661079,0.025402347,79.07,244.73,73.85,0
D0006,District_006,25,2025,Typhoid,90,3661079,0.024582917,79.07,492.83,51.35,0
D0006,District_006,26,2025,Malaria,42,3661079,0.011472028,79.07,121.03,73.25,0
D0007,District_007,1,2025,Swine Flu,116,1957957,0.059245428,50.61,336.07,49.3,1
D0007,District_007,2,2025,Swine Flu,100,1957957,0.051073645,50.61,380.81,33.57,0
D0007,District_007,3,2025,Chikungunya,124,1957957,0.063331319,50.61,118.82,93.85,1
D0007,District_007,4,2025,Typhoid,252,1957957,0.128705584,50.61,364.11,91.82,1
D0007,District_007,5,2025,Dengue,4,1957957,0.002042946,50.61,183.89,97.96,0
D0007,District_007,6,2025,Malaria,291,1957957,0.148624306,50.61,316.15,80.16,1
D0007,District_007,7,2025,Malaria,261,1957957,0.133302212,50.61,316.76,77.79,1
D0007,District_007,8,2025,Typhoid,13,1957957,0.006639574,50.61,267.89,69.13,0
D0007,District_007,9,2025,Chikungunya,242,1957957,0.12359822,50.61,45.14,38.82,1
D0007,District_007,10,2025,Hepatitis,176,1957957,0.089889615,50.61,417.65,43.25,1
D0007,District_007,11,2025,Swine Flu,181,1957957,0.092443297,50.61,160.39,50.26,1
D0007,District_007,12,2025,Swine Flu,66,1957957,0.033708605,50.61,93.26,92.31,0
D0007,District_007,13,2025,Chikungunya,109,1957957,0.055670273,50.61,20.39,42.11,1
D0007,District_007,14,2025,Typhoid,206,1957957,0.105211708,50.61,295.45,94.6,1
D0007,District_007,15,2025,Malaria,220,1957957,0.112362018,50.61,338.78,66.6,1
D0007,District_007,16,2025,Dengue,290,1957957,0.148113569,50.61,8.29,80.09,1
D0007,District_007,17,2025,Dengue,199,1957957,0.101636553,50.61,256.05,37.72,1
D0007,District_007,18,2025,Malaria,278,1957957,0.141984732,50.61,113.25,48.83,1
D0007,District_007,19,2025,Hepatitis,247,1957957,0.126151902,50.61,322.59,97.1,1
D0007,District_007,20,2025,Swine Flu,246,1957957,0.125641166,50.61,87.18,48.63,1
D0007,District_007,21,2025,Dengue,33,1957957,0.016854303,50.61,345.47,50.76,0
D0007,District_007,22,2025,Swine Flu,244,1957957,0.124619693,50.61,193.37,43.83,1
D0007,District_007,23,2025,Dengue,254,1957957,0.129727057,50.61,468.36,39.04,1
D0007,District_007,24,2025,Malaria,268,1957957,0.136877368,50.61,68.76,46.33,1
D0007,District_007,25,2025,Typhoid,107,1957957,0.0546488,50.61,170.53,74.96,1
D0007,District_007,26,2025,Swine Flu,103,1957957,0.052605854,50.61,56.74,61.88,1
D0008,District_008,1,2025,Dengue,149,9427052,0.015805577,53.31,462.35,68.76,1
D0008,District_008,2,2025,Malaria,54,9427052,0.005728196,53.31,438.67,38.57,0
D0008,District_008,3,2025,Hepatitis,269,9427052,0.028534901,53.31,128.97,86.15,1
D0008,District_008,4,2025,Malaria,135,9427052,0.01432049,53.31,329.99,84.89,1
D0008,District_008,5,2025,Typhoid,124,9427052,0.013153635,53.31,408.61,31.51,1
D0008,District_008,6,2025,Dengue,252,9427052,0.026731581,53.31,277.6,56.85,1
D0008,District_008,7,2025,Dengue,238,9427052,0.025246493,53.31,264.83,34.81,1
D0008,District_008,8,2025,Hepatitis,24,9427052,0.002545865,53.31,120.93,85.45,0
D0008,District_008,9,2025,Hepatitis,266,9427052,0.028216668,53.31,46.55,81.61,1
D0008,District_008,10,2025,Dengue,203,9427052,0.021533773,53.31,448.61,93.14,1
D0008,District_008,11,2025,Hepatitis,180,9427052,0.019093986,53.31,450.21,46.55,1
D0008,District_008,12,2025,Hepatitis,274,9427052,0.02906529,53.31,316.55,61.94,1
D0008,District_008,13,2025,Hepatitis,121,9427052,0.012835402,53.31,169.51,42.91,1
D0008,District_008,14,2025,Malaria,100,9427052,0.01060777,53.31,174.6,55.99,0
D0008,District_008,15,2025,Hepatitis,225,9427052,0.023867483,53.31,362.98,66.56,1
D0008,District_008,16,2025,Dengue,8,9427052,0.000848622,53.31,448.56,33.73,0
D0008,District_008,17,2025,Malaria,188,9427052,0.019942608,53.31,443.54,80.04,1
D0008,District_008,18,2025,Chikungunya,101,9427052,0.010713848,53.31,389.94,68.03,1
D0008,District_008,19,2025,Typhoid,237,9427052,0.025140415,53.31,321.02,88.03,1
D0008,District_008,20,2025,Typhoid,203,9427052,0.021533773,53.31,42.07,49.02,1
D0008,District_008,21,2025,Swine Flu,269,9427052,0.028534901,53.31,80.81,93.23,1
D0008,District_008,22,2025,Swine Flu,197,9427052,0.020897307,53.31,449.28,99.91,1
D0008,District_008,23,2025,Typhoid,18,9427052,0.001909399,53.31,303.21,94.35,0
D0008,District_008,24,2025,Hepatitis,172,9427052,0.018245365,53.31,4.6,84.45,1
D0008,District_008,25,2025,Hepatitis,64,9427052,0.006788973,53.31,50.74,86.87,0
D0008,District_008,26,2025,Typhoid,102,9427052,0.010819925,53.31,331.75,70.16,1
D0009,District_009,1,2025,Chikungunya,106,6898702,0.015365209,79.65,2.53,43.31,0
D0009,District_009,2,2025,Hepatitis,287,6898702,0.041602029,79.65,80.4,77.39,0
D0009,District_009,3,2025,Dengue,6,6898702,0.000869729,79.65,274.37,79.89,0
D0009,District_009,4,2025,Hepatitis,22,6898702,0.003189006,79.65,345.95,98.98,0
D0009,District_009,5,2025,Malaria,218,6898702,0.031600147,79.65,325.98,67.89,0
D0009,District_009,6,2025,Dengue,121,6898702,0.017539531,79.65,112.13,49,0
D0009,District_009,7,2025,Typhoid,93,6898702,0.013480797,79.65,356.09,77.86,0
D0009,District_009,8,2025,Typhoid,112,6898702,0.016234938,79.65,118.62,98.56,0
D0009,District_009,9,2025,Malaria,150,6898702,0.021743221,79.65,162.7,42.4,0
D0009,District_009,10,2025,Typhoid,220,6898702,0.031890057,79.65,373.25,52.82,0
D0009,District_009,11,2025,Dengue,56,6898702,0.008117469,79.65,324.82,67.93,0
D0009,District_009,12,2025,Chikungunya,21,6898702,0.003044051,79.65,424.61,41.92,0
D0009,District_009,13,2025,Swine Flu,246,6898702,0.035658882,79.65,328.81,31.56,0
D0009,District_009,14,2025,Typhoid,131,6898702,0.018989079,79.65,284.15,53.59,0
D0009,District_009,15,2025,Dengue,159,6898702,0.023047814,79.65,46.84,90.58,0
D0009,District_009,16,2025,Hepatitis,275,6898702,0.039862571,79.65,183.86,33.04,0
D0009,District_009,17,2025,Dengue,146,6898702,0.021163401,79.65,132.6,60.03,0
D0009,District_009,18,2025,Hepatitis,274,6898702,0.039717616,79.65,121.99,83.35,0
D0009,District_009,19,2025,Malaria,267,6898702,0.038702933,79.65,486.51,96.72,0
D0009,District_009,20,2025,Malaria,116,6898702,0.016814757,79.65,196.55,98.98,0
D0009,District_009,21,2025,Swine Flu,39,6898702,0.005653237,79.65,446.02,59.54,0
D0009,District_009,22,2025,Dengue,272,6898702,0.039427707,79.65,315.57,96.53,0
D0009,District_009,23,2025,Malaria,79,6898702,0.01145143,79.65,397.41,32.48,0
D0009,District_009,24,2025,Dengue,180,6898702,0.026091865,79.65,251.32,82.21,0
D0009,District_009,25,2025,Chikungunya,185,6898702,0.026816639,79.65,288.45,74.99,0
D0009,District_009,26,2025,Typhoid,217,6898702,0.031455193,79.65,246.26,47.47,0
D0010,District_010,1,2025,Chikungunya,46,2595270,0.017724553,96.13,97.62,65.51,0
D0010,District_010,2,2025,Typhoid,85,2595270,0.032751891,96.13,361.23,39.07,0
D0010,District_010,3,2025,Malaria,70,2595270,0.026972145,96.13,140.39,91.01,0
D0010,District_010,4,2025,Typhoid,30,2595270,0.011559491,96.13,12.16,55.05,0
D0010,District_010,5,2025,Malaria,178,2595270,0.068586313,96.13,322.74,73.82,0
D0010,District_010,6,2025,Dengue,233,2595270,0.089778713,96.13,88.56,41.11,0
D0010,District_010,7,2025,Malaria,126,2595270,0.048549862,96.13,470.23,44.43,0
D0010,District_010,8,2025,Chikungunya,65,2595270,0.025045564,96.13,476.96,99.44,0
D0010,District_010,9,2025,Chikungunya,215,2595270,0.082843018,96.13,457.43,82.72,0
D0010,District_010,10,2025,Dengue,106,2595270,0.040843535,96.13,185.08,97.34,0
D0010,District_010,11,2025,Dengue,169,2595270,0.065118466,96.13,7.73,50.71,0
D0010,District_010,12,2025,Typhoid,255,2595270,0.098255673,96.13,464.16,41.52,0
D0010,District_010,13,2025,Hepatitis,34,2595270,0.013100756,96.13,214.09,65.21,0
D0010,District_010,14,2025,Typhoid,201,2595270,0.077448589,96.13,483.33,64.63,0
D0010,District_010,15,2025,Chikungunya,128,2595270,0.049320495,96.13,481.81,42.25,0
D0010,District_010,16,2025,Chikungunya,141,2595270,0.054329607,96.13,426.5,81.33,0
D0010,District_010,17,2025,Dengue,18,2595270,0.006935695,96.13,147.22,55.32,0
D0010,District_010,18,2025,Swine Flu,24,2595270,0.009247593,96.13,192.55,43.05,0
D0010,District_010,19,2025,Chikungunya,29,2595270,0.011174175,96.13,425.57,53.24,0
D0010,District_010,20,2025,Hepatitis,234,2595270,0.090164029,96.13,158.46,69.46,0
D0010,District_010,21,2025,Typhoid,147,2595270,0.056641506,96.13,84.75,80.85,0
D0010,District_010,22,2025,Hepatitis,86,2595270,0.033137207,96.13,278.4,63.73,0
D0010,District_010,23,2025,Typhoid,177,2595270,0.068200996,96.13,468.08,66.79,0
D0010,District_010,24,2025,Hepatitis,182,2595270,0.070127578,96.13,348.01,39.73,0
D0010,District_010,25,2025,Dengue,127,2595270,0.048935178,96.13,285.03,94.03,0
D0010,District_010,26,2025,Chikungunya,61,2595270,0.023504298,96.13,48.59,95.01,0
D0011,District_011,1,2025,Chikungunya,62,3484994,0.017790561,74.13,307.5,77.84,0
D0011,District_011,2,2025,Typhoid,46,3484994,0.013199449,74.13,495.03,31.23,0
D0011,District_011,3,2025,Malaria,26,3484994,0.007460558,74.13,70.04,67.6,0
D0011,District_011,4,2025,Swine Flu,137,3484994,0.039311402,74.13,259.16,74.05,0
D0011,District_011,5,2025,Malaria,204,3484994,0.058536686,74.13,438.69,99.63,0
D0011,District_011,6,2025,Dengue,25,3484994,0.007173613,74.13,370.38,99.72,0
D0011,District_011,7,2025,Hepatitis,85,3484994,0.024390286,74.13,348.51,90.03,0
D0011,District_011,8,2025,Chikungunya,101,3484994,0.028981399,74.13,351.24,34.47,0
D0011,District_011,9,2025,Hepatitis,110,3484994,0.031563899,74.13,179.75,96.73,0
D0011,District_011,10,2025,Hepatitis,226,3484994,0.064849466,74.13,146.8,72.89,0
D0011,District_011,11,2025,Hepatitis,198,3484994,0.056815019,74.13,404.68,86.06,0
D0011,District_011,12,2025,Typhoid,160,3484994,0.045911126,74.13,405.06,58.5,0
D0011,District_011,13,2025,Hepatitis,103,3484994,0.029555288,74.13,433.54,52.38,0
D0011,District_011,14,2025,Hepatitis,97,3484994,0.02783362,74.13,456.62,62.43,0
D0011,District_011,15,2025,Dengue,280,3484994,0.080344471,74.13,255.67,40.28,0
D0011,District_011,16,2025,Hepatitis,196,3484994,0.05624113,74.13,250.76,54.99,0
D0011,District_011,17,2025,Dengue,193,3484994,0.055380296,74.13,399.15,90.03,0
D0011,District_011,18,2025,Dengue,240,3484994,0.06886669,74.13,324.98,32.66,0
D0011,District_011,19,2025,Hepatitis,186,3484994,0.053371684,74.13,350.98,40.56,0
D0011,District_011,20,2025,Swine Flu,54,3484994,0.015495005,74.13,397.9,38.76,0
D0011,District_011,21,2025,Typhoid,145,3484994,0.041606958,74.13,445,58.22,0
D0011,District_011,22,2025,Malaria,66,3484994,0.01893834,74.13,169,99.79,0
D0011,District_011,23,2025,Hepatitis,129,3484994,0.037015846,74.13,187.79,42.14,0
D0011,District_011,24,2025,Chikungunya,103,3484994,0.029555288,74.13,46.99,40.18,0
D0011,District_011,25,2025,Malaria,40,3484994,0.011477782,74.13,289.14,94.05,0
D0011,District_011,26,2025,Typhoid,235,3484994,0.067431967,74.13,17.97,91.74,0
D0012,District_012,1,2025,Hepatitis,277,3143818,0.088109426,58.63,232.8,32.26,1
D0012,District_012,2,2025,Hepatitis,252,3143818,0.080157312,58.63,271.32,82.62,1
D0012,District_012,3,2025,Chikungunya,144,3143818,0.045804178,58.63,143.27,75.88,1
D0012,District_012,4,2025,Swine Flu,183,3143818,0.058209477,58.63,295.42,83.74,1
D0012,District_012,5,2025,Malaria,153,3143818,0.048666939,58.63,15.25,64.62,1
D0012,District_012,6,2025,Typhoid,120,3143818,0.038170149,58.63,18.67,99.4,1
D0012,District_012,7,2025,Dengue,127,3143818,0.040396741,58.63,411.3,33.07,1
D0012,District_012,8,2025,Typhoid,55,3143818,0.017494651,58.63,180.1,46.41,0
D0012,District_012,9,2025,Chikungunya,5,3143818,0.001590423,58.63,63.53,57.76,0
D0012,District_012,10,2025,Swine Flu,201,3143818,0.063934999,58.63,261.12,61.48,1
D0012,District_012,11,2025,Malaria,224,3143818,0.071250944,58.63,385,94.5,1
D0012,District_012,12,2025,Dengue,107,3143818,0.034035049,58.63,107.91,69.2,1
D0012,District_012,13,2025,Dengue,209,3143818,0.066479675,58.63,311.45,33.16,1
D0012,District_012,14,2025,Dengue,217,3143818,0.069024352,58.63,42.67,58.55,1
D0012,District_012,15,2025,Dengue,220,3143818,0.069978606,58.63,25.84,59.15,1
D0012,District_012,16,2025,Hepatitis,140,3143818,0.04453184,58.63,265.68,97.58,1
D0012,District_012,17,2025,Typhoid,225,3143818,0.071569028,58.63,270.32,71.94,1
D0012,District_012,18,2025,Dengue,283,3143818,0.090017934,58.63,318.71,74.5,1
D0012,District_012,19,2025,Typhoid,174,3143818,0.055346715,58.63,363.05,79.93,1
D0012,District_012,20,2025,Typhoid,168,3143818,0.053438208,58.63,487.93,83.9,1
D0012,District_012,21,2025,Hepatitis,54,3143818,0.017176567,58.63,258.15,74.45,0
D0012,District_012,22,2025,Hepatitis,18,3143818,0.005725522,58.63,161.48,46.6,0
