cases_lag1,rainfall_lag1,humidity_lag1,vaccination_coverage,predicted_risk,district_code,action
192.0,403.85,84.95,70.87,1,D0257,Increase Vaccination Drive
18.0,45.51,92.67,58.29,1,D0407,Increase Vaccination Drive
59.0,146.65,50.79,80.18,1,D0105,Increase Vaccination Drive
248.0,323.86,53.39,84.05,1,D0244,Increase Vaccination Drive
172.0,128.79,37.02,77.72,1,D0584,Increase Vaccination Drive
21.0,306.64,64.0,86.48,1,D0637,Increase Vaccination Drive
63.0,344.2,50.61,60.07,1,D0092,Increase Vaccination Drive
122.0,454.11,80.56,96.67,1,D0129,Increase Vaccination Drive
208.0,335.51,63.12,50.13,1,D0180,Increase Vaccination Drive
17.0,410.56,50.03,52.13,1,D0399,Increase Vaccination Drive
98.0,70.41,85.27,59.01,1,D0516,Increase Vaccination Drive
226.0,443.15,31.94,67.67,1,D0497,Increase Vaccination Drive
76.0,170.46,88.05,77.09,1,D0443,Increase Vaccination Drive
251.0,107.5,61.8,59.01,1,D0516,Increase Vaccination Drive
284.0,400.58,83.89,82.45,1,D0601,Increase Vaccination Drive
19.0,99.55,47.09,55.67,1,D0210,Increase Vaccination Drive
250.0,436.84,44.13,63.16,1,D0041,Increase Vaccination Drive
271.0,75.72,82.23,53.58,1,D0166,Increase Vaccination Drive
68.0,240.53,66.16,59.01,1,D0516,Increase Vaccination Drive
46.0,495.03,31.23,74.13,1,D0011,Increase Vaccination Drive
147.0,54.44,52.01,70.04,1,D0676,Increase Vaccination Drive
163.0,139.53,64.01,82.28,1,D0533,Increase Vaccination Drive
296.0,25.25,30.77,89.38,1,D0280,Increase Vaccination Drive
282.0,71.54,74.93,94.76,1,D0338,Increase Vaccination Drive
174.0,62.41,30.43,65.55,1,D0681,Increase Vaccination Drive
91.0,211.68,78.68,75.34,1,D0279,Increase Vaccination Drive
81.0,177.31,66.12,53.5,1,D0042,Increase Vaccination Drive
189.0,361.13,79.35,71.01,1,D0035,Increase Vaccination Drive
221.0,396.57,54.87,79.67,1,D0108,Increase Vaccination Drive
9.0,193.83,96.96,97.96,1,D0485,Increase Vaccination Drive
118.0,317.46,72.52,62.81,1,D0457,Increase Vaccination Drive
86.0,314.37,56.8,89.18,1,D0221,Increase Vaccination Drive
274.0,178.28,37.62,84.21,1,D0234,Increase Vaccination Drive
23.0,324.79,49.89,56.42,1,D0622,Increase Vaccination Drive
149.0,348.55,64.85,53.16,1,D0368,Increase Vaccination Drive
19.0,484.65,47.59,80.57,1,D0019,Increase Vaccination Drive
247.0,162.55,48.98,72.07,1,D0084,Increase Vaccination Drive
60.0,83.81,57.51,55.96,1,D0489,Increase Vaccination Drive
93.0,41.94,36.12,58.0,1,D0340,Increase Vaccination Drive
138.0,295.5,84.51,56.55,1,D0650,Increase Vaccination Drive
15.0,361.64,67.45,97.38,1,D0647,Increase Vaccination Drive
121.0,247.46,95.25,65.74,1,D0559,Increase Vaccination Drive
18.0,399.23,64.63,68.58,1,D0240,Increase Vaccination Drive
22.0,466.64,43.96,74.95,1,D0380,Increase Vaccination Drive
190.0,98.46,84.23,79.67,1,D0108,Increase Vaccination Drive
268.0,438.33,77.02,72.34,1,D0074,Increase Vaccination Drive
226.0,329.18,75.04,87.25,1,D0703,Increase Vaccination Drive
227.0,90.21,38.2,96.49,1,D0376,Increase Vaccination Drive
45.0,499.73,32.22,85.99,1,D0236,Increase Vaccination Drive
172.0,296.24,67.28,75.31,1,D0493,Increase Vaccination Drive
135.0,356.2,82.4,85.19,1,D0680,Increase Vaccination Drive
211.0,356.52,36.33,52.41,1,D0730,Increase Vaccination Drive
93.0,417.74,53.92,97.18,1,D0104,Increase Vaccination Drive
87.0,225.29,51.62,67.09,1,D0373,Increase Vaccination Drive
192.0,252.93,89.24,69.34,1,D0645,Increase Vaccination Drive
106.0,468.67,84.49,68.08,1,D0653,Increase Vaccination Drive
269.0,160.33,97.0,89.38,1,D0280,Increase Vaccination Drive
178.0,205.04,41.93,97.39,1,D0659,Increase Vaccination Drive
98.0,341.85,86.84,89.58,1,D0364,Increase Vaccination Drive
261.0,144.79,49.91,54.93,1,D0316,Increase Vaccination Drive
247.0,173.05,76.35,56.04,1,D0374,Increase Vaccination Drive
264.0,459.94,94.94,83.55,1,D0292,Increase Vaccination Drive
111.0,139.35,97.53,53.46,1,D0486,Increase Vaccination Drive
158.0,158.46,74.57,83.04,1,D0262,Increase Vaccination Drive
5.0,270.95,62.73,74.56,1,D0039,Increase Vaccination Drive
231.0,363.34,86.61,53.0,1,D0086,Increase Vaccination Drive
288.0,453.07,90.9,71.1,1,D0082,Increase Vaccination Drive
191.0,140.21,65.51,84.37,1,D0623,Increase Vaccination Drive
114.0,232.54,46.42,84.14,1,D0728,Increase Vaccination Drive
78.0,32.85,93.09,80.18,1,D0105,Increase Vaccination Drive
64.0,216.17,93.53,62.89,1,D0396,Increase Vaccination Drive
33.0,467.9,51.32,91.04,1,D0575,Increase Vaccination Drive
199.0,104.95,68.07,81.99,1,D0033,Increase Vaccination Drive
174.0,371.0,55.83,61.18,1,D0235,Increase Vaccination Drive
146.0,369.9,66.09,94.63,1,D0405,Increase Vaccination Drive
99.0,313.32,36.14,71.93,1,D0392,Increase Vaccination Drive
293.0,190.67,60.86,73.16,1,D0591,Increase Vaccination Drive
126.0,0.66,81.48,51.08,1,D0571,Increase Vaccination Drive
7.0,188.41,36.64,88.7,1,D0468,Increase Vaccination Drive
210.0,497.72,77.48,81.59,1,D0087,Increase Vaccination Drive
47.0,232.67,80.8,80.17,1,D0158,Increase Vaccination Drive
164.0,204.08,85.23,78.0,1,D0119,Increase Vaccination Drive
63.0,297.08,72.31,82.45,1,D0601,Increase Vaccination Drive
253.0,147.32,41.7,59.49,1,D0403,Increase Vaccination Drive
52.0,217.12,78.88,81.1,1,D0507,Increase Vaccination Drive
297.0,22.79,83.24,97.38,1,D0647,Increase Vaccination Drive
278.0,259.04,90.02,80.19,1,D0175,Increase Vaccination Drive
69.0,289.4,98.61,96.67,1,D0129,Increase Vaccination Drive
151.0,23.48,36.83,88.87,1,D0268,Increase Vaccination Drive
182.0,403.2,99.04,77.96,1,D0080,Increase Vaccination Drive
56.0,335.43,40.19,80.95,1,D0699,Increase Vaccination Drive
273.0,28.48,80.28,52.37,1,D0621,Increase Vaccination Drive
294.0,64.49,39.42,92.77,1,D0307,Increase Vaccination Drive
168.0,345.75,74.67,59.02,1,D0336,Increase Vaccination Drive
231.0,430.26,92.36,54.23,1,D0394,Increase Vaccination Drive
256.0,294.22,61.97,85.57,1,D0388,Increase Vaccination Drive
285.0,448.13,62.55,75.27,1,D0256,Increase Vaccination Drive
244.0,120.07,92.44,64.89,1,D0023,Increase Vaccination Drive
192.0,485.04,44.0,58.79,1,D0197,Increase Vaccination Drive
132.0,28.47,59.83,55.59,1,D0597,Increase Vaccination Drive
67.0,346.25,95.64,60.07,1,D0092,Increase Vaccination Drive
265.0,404.2,41.45,72.61,1,D0148,Increase Vaccination Drive
172.0,285.63,64.79,64.05,1,D0139,Increase Vaccination Drive
96.0,248.18,71.82,63.79,1,D0545,Increase Vaccination Drive
21.0,7.35,41.24,97.18,1,D0104,Increase Vaccination Drive
299.0,369.74,41.84,83.04,1,D0262,Increase Vaccination Drive
104.0,471.78,59.15,58.0,1,D0340,Increase Vaccination Drive
74.0,269.01,60.21,71.41,1,D0138,Increase Vaccination Drive
288.0,27.98,45.63,67.67,1,D0497,Increase Vaccination Drive
274.0,121.99,83.35,79.65,1,D0009,Increase Vaccination Drive
208.0,377.73,89.06,79.32,1,D0541,Increase Vaccination Drive
94.0,487.95,94.23,87.32,1,D0548,Increase Vaccination Drive
299.0,152.88,49.53,87.25,1,D0703,Increase Vaccination Drive
177.0,468.08,66.79,96.13,1,D0010,Increase Vaccination Drive
28.0,9.86,38.68,68.35,1,D0605,Increase Vaccination Drive
247.0,128.35,87.62,78.55,1,D0668,Increase Vaccination Drive
95.0,31.26,39.02,83.15,1,D0121,Increase Vaccination Drive
122.0,453.44,97.51,61.85,1,D0424,Increase Vaccination Drive
271.0,0.78,38.73,85.44,1,D0090,Increase Vaccination Drive
67.0,148.83,55.7,71.68,1,D0185,Increase Vaccination Drive
210.0,402.21,72.66,50.75,1,D0133,Increase Vaccination Drive
169.0,181.25,42.57,94.55,1,D0188,Increase Vaccination Drive
158.0,328.38,95.98,74.14,1,D0118,Increase Vaccination Drive
27.0,209.13,58.76,80.37,1,D0401,Increase Vaccination Drive
78.0,123.24,31.72,80.14,1,D0404,Increase Vaccination Drive
187.0,359.74,45.04,52.13,1,D0357,Increase Vaccination Drive
228.0,50.4,39.01,86.98,1,D0386,Increase Vaccination Drive
237.0,499.15,98.4,80.36,1,D0525,Increase Vaccination Drive
206.0,234.83,81.02,56.56,1,D0375,Increase Vaccination Drive
113.0,101.23,62.58,61.84,1,D0420,Increase Vaccination Drive
198.0,357.36,42.36,83.46,1,D0632,Increase Vaccination Drive
158.0,194.22,58.53,60.46,1,D0646,Increase Vaccination Drive
259.0,199.31,33.28,97.18,1,D0577,Increase Vaccination Drive
26.0,182.73,48.77,94.19,1,D0381,Increase Vaccination Drive
80.0,415.48,63.39,77.08,1,D0707,Increase Vaccination Drive
232.0,249.27,60.02,51.64,1,D0565,Increase Vaccination Drive
232.0,210.84,98.6,76.43,1,D0678,Increase Vaccination Drive
44.0,289.15,75.13,64.36,1,D0106,Increase Vaccination Drive
259.0,53.46,69.38,53.16,1,D0368,Increase Vaccination Drive
159.0,403.35,52.39,76.12,1,D0113,Increase Vaccination Drive
253.0,41.79,83.08,90.44,1,D0625,Increase Vaccination Drive
94.0,327.72,52.65,70.87,1,D0257,Increase Vaccination Drive
242.0,114.21,94.05,61.16,1,D0524,Increase Vaccination Drive
2.0,72.36,37.76,55.05,1,D0351,Increase Vaccination Drive
188.0,8.98,84.5,86.78,1,D0319,Increase Vaccination Drive
128.0,63.56,44.14,94.11,1,D0233,Increase Vaccination Drive
201.0,128.82,34.19,85.8,1,D0206,Increase Vaccination Drive
217.0,57.37,46.85,97.46,1,D0708,Increase Vaccination Drive
99.0,490.57,98.99,79.67,1,D0108,Increase Vaccination Drive
253.0,429.87,47.74,90.77,1,D0276,Increase Vaccination Drive
108.0,221.01,45.87,59.41,1,D0710,Increase Vaccination Drive
214.0,177.42,56.6,66.25,1,D0173,Increase Vaccination Drive
189.0,486.02,97.21,50.54,1,D0478,Increase Vaccination Drive
247.0,410.34,96.38,97.96,1,D0485,Increase Vaccination Drive
282.0,361.71,95.31,60.38,1,D0044,Increase Vaccination Drive
114.0,215.2,46.29,80.1,1,D0631,Increase Vaccination Drive
123.0,283.1,54.2,93.03,1,D0711,Increase Vaccination Drive
14.0,77.77,85.93,86.48,1,D0637,Increase Vaccination Drive
126.0,154.82,80.58,55.37,1,D0286,Increase Vaccination Drive
293.0,347.49,60.81,52.12,1,D0207,Increase Vaccination Drive
146.0,28.44,74.84,84.51,1,D0163,Increase Vaccination Drive
87.0,24.09,74.35,63.01,1,D0102,Increase Vaccination Drive
254.0,169.41,99.16,69.42,1,D0190,Increase Vaccination Drive
184.0,44.91,37.2,71.01,1,D0337,Increase Vaccination Drive
133.0,218.18,42.51,79.7,1,D0455,Increase Vaccination Drive
280.0,496.69,87.79,78.53,1,D0589,Increase Vaccination Drive
37.0,37.64,75.79,94.17,1,D0471,Increase Vaccination Drive
21.0,126.43,89.24,64.83,1,D0147,Increase Vaccination Drive
253.0,295.58,62.24,89.53,1,D0673,Increase Vaccination Drive
60.0,245.1,99.11,52.39,1,D0718,Increase Vaccination Drive
92.0,204.35,90.94,84.05,1,D0244,Increase Vaccination Drive
267.0,197.1,95.91,94.11,1,D0233,Increase Vaccination Drive
157.0,193.05,75.51,54.54,1,D0015,Increase Vaccination Drive
73.0,10.82,92.91,63.08,1,D0633,Increase Vaccination Drive
283.0,343.19,58.4,95.6,1,D0442,Increase Vaccination Drive
201.0,402.72,87.41,62.47,1,D0154,Increase Vaccination Drive
266.0,8.94,84.04,53.8,1,D0444,Increase Vaccination Drive
79.0,379.58,60.42,52.39,1,D0718,Increase Vaccination Drive
122.0,132.47,87.17,88.11,1,D0612,Increase Vaccination Drive
100.0,59.95,77.01,91.89,1,D0145,Increase Vaccination Drive
41.0,70.43,39.37,97.55,1,D0306,Increase Vaccination Drive
71.0,405.36,99.52,52.13,1,D0357,Increase Vaccination Drive
172.0,25.07,79.14,65.55,1,D0476,Increase Vaccination Drive
167.0,129.3,83.25,80.17,1,D0158,Increase Vaccination Drive
281.0,46.63,82.76,80.74,1,D0500,Increase Vaccination Drive
149.0,328.41,34.72,81.15,1,D0529,Increase Vaccination Drive
1.0,117.04,89.23,53.01,1,D0509,Increase Vaccination Drive
210.0,480.78,38.29,69.42,1,D0190,Increase Vaccination Drive
193.0,210.86,82.41,58.79,1,D0197,Increase Vaccination Drive
14.0,330.74,89.87,70.04,1,D0676,Increase Vaccination Drive
244.0,488.04,76.9,52.53,1,D0312,Increase Vaccination Drive
273.0,105.14,89.35,60.13,1,D0267,Increase Vaccination Drive
264.0,459.8,63.34,60.88,1,D0459,Increase Vaccination Drive
55.0,150.63,78.97,53.0,1,D0086,Increase Vaccination Drive
277.0,54.43,67.98,76.43,1,D0678,Increase Vaccination Drive
138.0,436.84,66.99,94.11,1,D0233,Increase Vaccination Drive
50.0,40.82,52.28,58.63,1,D0688,Increase Vaccination Drive
183.0,243.75,80.19,57.29,1,D0579,Increase Vaccination Drive
182.0,60.37,40.1,91.12,1,D0542,Increase Vaccination Drive
284.0,457.55,93.92,96.27,1,D0081,Increase Vaccination Drive
54.0,429.32,33.46,63.43,1,D0556,Increase Vaccination Drive
121.0,377.78,92.67,65.17,1,D0005,Increase Vaccination Drive
221.0,410.77,95.61,50.35,1,D0693,Increase Vaccination Drive
43.0,380.42,53.24,91.04,1,D0575,Increase Vaccination Drive
116.0,5.48,31.4,67.67,1,D0497,Increase Vaccination Drive
151.0,46.31,92.46,91.89,1,D0120,Increase Vaccination Drive
43.0,177.98,51.36,94.55,1,D0188,Increase Vaccination Drive
296.0,203.17,80.39,74.55,1,D0228,Increase Vaccination Drive
241.0,36.78,92.08,94.42,1,D0296,Increase Vaccination Drive
19.0,378.67,99.22,65.84,1,D0722,Increase Vaccination Drive
36.0,17.87,95.64,81.84,1,D0389,Increase Vaccination Drive
12.0,437.44,44.39,94.25,1,D0553,Increase Vaccination Drive
107.0,209.18,91.94,69.07,1,D0331,Increase Vaccination Drive
145.0,12.51,92.18,92.5,1,D0568,Increase Vaccination Drive
68.0,402.2,72.12,74.62,1,D0481,Increase Vaccination Drive
135.0,160.59,31.76,92.78,1,D0672,Increase Vaccination Drive
125.0,198.93,90.41,66.33,1,D0027,Increase Vaccination Drive
88.0,101.94,90.02,63.32,1,D0550,Increase Vaccination Drive
64.0,234.72,45.74,68.93,1,D0367,Increase Vaccination Drive
284.0,273.81,45.02,94.22,1,D0290,Increase Vaccination Drive
195.0,389.98,90.23,86.89,1,D0458,Increase Vaccination Drive
159.0,324.36,84.35,51.64,1,D0565,Increase Vaccination Drive
185.0,419.2,58.4,87.18,1,D0677,Increase Vaccination Drive
9.0,263.81,40.15,50.74,1,D0363,Increase Vaccination Drive
101.0,20.96,55.02,66.7,1,D0150,Increase Vaccination Drive
46.0,393.66,82.43,70.84,1,D0395,Increase Vaccination Drive
10.0,239.82,61.59,78.03,1,D0513,Increase Vaccination Drive
292.0,478.11,90.52,66.76,1,D0327,Increase Vaccination Drive
13.0,370.4,90.29,69.14,1,D0473,Increase Vaccination Drive
255.0,64.38,73.87,60.13,1,D0267,Increase Vaccination Drive
152.0,362.88,72.41,66.35,1,D0510,Increase Vaccination Drive
140.0,264.74,37.34,64.63,1,D0593,Increase Vaccination Drive
232.0,251.32,39.12,78.38,1,D0400,Increase Vaccination Drive
59.0,141.33,33.25,50.02,1,D0701,Increase Vaccination Drive
266.0,40.09,55.1,59.55,1,D0091,Increase Vaccination Drive
14.0,179.84,50.86,72.48,1,D0211,Increase Vaccination Drive
289.0,76.07,78.08,86.98,1,D0386,Increase Vaccination Drive
162.0,81.46,55.15,82.0,1,D0638,Increase Vaccination Drive
152.0,354.34,86.79,53.52,1,D0320,Increase Vaccination Drive
206.0,254.61,51.7,95.8,1,D0445,Increase Vaccination Drive
218.0,453.13,46.52,97.23,1,D0675,Increase Vaccination Drive
224.0,180.12,89.53,68.37,1,D0101,Increase Vaccination Drive
228.0,83.71,50.14,65.64,1,D0519,Increase Vaccination Drive
239.0,152.34,86.78,58.43,1,D0065,Increase Vaccination Drive
182.0,122.03,31.62,68.69,1,D0452,Increase Vaccination Drive
101.0,332.46,93.36,80.8,1,D0063,Increase Vaccination Drive
192.0,338.44,86.45,93.12,1,D0209,Increase Vaccination Drive
92.0,153.54,96.7,84.21,1,D0234,Increase Vaccination Drive
195.0,263.66,38.43,85.0,1,D0284,Increase Vaccination Drive
142.0,149.7,87.87,74.48,1,D0098,Increase Vaccination Drive
28.0,499.1,82.08,96.17,1,D0499,Increase Vaccination Drive
179.0,187.66,79.54,80.54,1,D0223,Increase Vaccination Drive
255.0,199.76,81.73,96.21,1,D0146,Increase Vaccination Drive
237.0,317.24,90.24,79.6,1,D0628,Increase Vaccination Drive
34.0,235.25,42.96,68.49,1,D0411,Increase Vaccination Drive
82.0,359.06,35.91,61.17,1,D0059,Increase Vaccination Drive
17.0,91.46,66.51,77.22,1,D0272,Increase Vaccination Drive
59.0,231.31,65.05,85.24,1,D0052,Increase Vaccination Drive
292.0,126.6,66.26,70.87,1,D0257,Increase Vaccination Drive
23.0,325.13,63.79,59.4,1,D0239,Increase Vaccination Drive
231.0,53.73,61.86,70.9,1,D0348,Increase Vaccination Drive
193.0,268.6,92.71,92.5,1,D0568,Increase Vaccination Drive
144.0,444.52,57.06,97.45,1,D0576,Increase Vaccination Drive
253.0,270.69,31.46,63.81,1,D0162,Increase Vaccination Drive
153.0,368.61,51.52,92.41,1,D0370,Increase Vaccination Drive
193.0,147.72,95.37,82.36,1,D0070,Increase Vaccination Drive
66.0,361.32,49.11,75.35,1,D0596,Increase Vaccination Drive
249.0,384.21,45.64,69.07,1,D0331,Increase Vaccination Drive
24.0,278.93,83.89,56.42,1,D0622,Increase Vaccination Drive
110.0,213.89,97.61,53.5,1,D0042,Increase Vaccination Drive
190.0,17.49,82.57,53.46,1,D0486,Increase Vaccination Drive
19.0,21.67,75.42,89.45,1,D0639,Increase Vaccination Drive
5.0,14.77,44.3,60.57,1,D0382,Increase Vaccination Drive
255.0,184.57,64.52,78.22,1,D0181,Increase Vaccination Drive
69.0,471.36,84.74,64.36,1,D0106,Increase Vaccination Drive
201.0,372.88,95.98,58.39,1,D0617,Increase Vaccination Drive
291.0,1.83,54.33,54.61,1,D0266,Increase Vaccination Drive
80.0,292.6,59.19,55.44,1,D0311,Increase Vaccination Drive
79.0,333.88,78.74,78.94,1,D0134,Increase Vaccination Drive
296.0,374.93,98.2,80.19,1,D0175,Increase Vaccination Drive
203.0,280.82,45.19,81.1,1,D0507,Increase Vaccination Drive
54.0,42.42,94.73,78.39,1,D0017,Increase Vaccination Drive
49.0,482.01,40.68,53.69,1,D0093,Increase Vaccination Drive
60.0,5.85,43.37,59.55,1,D0091,Increase Vaccination Drive
69.0,444.14,71.28,85.63,1,D0252,Increase Vaccination Drive
283.0,31.63,91.77,70.87,1,D0257,Increase Vaccination Drive
214.0,100.46,96.38,55.36,1,D0230,Increase Vaccination Drive
101.0,303.68,64.57,62.4,1,D0515,Increase Vaccination Drive
81.0,127.62,62.49,76.27,1,D0483,Increase Vaccination Drive
234.0,314.91,87.84,66.7,1,D0150,Increase Vaccination Drive
109.0,92.79,65.17,59.92,1,D0578,Increase Vaccination Drive
121.0,47.99,37.06,97.95,1,D0640,Increase Vaccination Drive
100.0,101.23,33.6,75.65,1,D0415,Increase Vaccination Drive
260.0,306.54,39.65,67.67,1,D0497,Increase Vaccination Drive
227.0,312.15,82.73,56.05,1,D0463,Increase Vaccination Drive
160.0,331.91,36.04,80.17,1,D0158,Increase Vaccination Drive
199.0,497.07,58.31,80.8,1,D0063,Increase Vaccination Drive
281.0,489.56,70.02,66.56,1,D0594,Increase Vaccination Drive
237.0,127.11,83.27,56.55,1,D0650,Increase Vaccination Drive
102.0,339.25,40.87,82.53,1,D0143,Increase Vaccination Drive
115.0,66.3,43.16,92.97,1,D0322,Increase Vaccination Drive
113.0,320.75,54.56,50.3,1,D0155,Increase Vaccination Drive
133.0,471.3,58.57,95.42,1,D0346,Increase Vaccination Drive
166.0,443.3,71.92,57.33,1,D0225,Increase Vaccination Drive
194.0,359.74,35.8,90.44,1,D0625,Increase Vaccination Drive
139.0,408.94,98.34,82.0,1,D0638,Increase Vaccination Drive
268.0,390.41,37.92,79.03,1,D0689,Increase Vaccination Drive
144.0,471.29,93.62,86.77,1,D0687,Increase Vaccination Drive
135.0,78.53,57.89,50.96,1,D0651,Increase Vaccination Drive
111.0,178.05,47.1,78.47,1,D0026,Increase Vaccination Drive
237.0,368.95,68.6,58.82,1,D0013,Increase Vaccination Drive
204.0,79.89,93.66,86.48,1,D0637,Increase Vaccination Drive
128.0,33.28,70.05,64.11,1,D0127,Increase Vaccination Drive
106.0,2.53,43.31,79.65,1,D0009,Increase Vaccination Drive
